passer,season,team,plays,qb_epa,headshot_href
R.Wilson,2019,SEA,637,0.119027959,https://a.espncdn.com/i/headshots/nfl/players/full/14881.png
R.Wilson,2020,SEA,695,0.173029452,https://a.espncdn.com/i/headshots/nfl/players/full/14881.png
S.Bradford,2013,LA,284,-0.069301448,https://a.espncdn.com/i/headshots/nfl/players/full/13197.png
S.Bradford,2015,PHI,530,-0.035403223,https://a.espncdn.com/i/headshots/nfl/players/full/13197.png
S.Bradford,2016,MIN,563,0.0448939,https://a.espncdn.com/i/headshots/nfl/players/full/13197.png
S.Darnold,2018,NYJ,459,-0.049885311,https://a.espncdn.com/i/headshots/nfl/players/full/3912547.png
S.Darnold,2019,NYJ,484,-0.01894958,https://a.espncdn.com/i/headshots/nfl/players/full/3912547.png
S.Darnold,2020,NYJ,386,-0.192191098,https://a.espncdn.com/i/headshots/nfl/players/full/3912547.png
T.Brady,2013,NE,669,0.107493898,https://a.espncdn.com/i/headshots/nfl/players/full/2330.png
T.Brady,2014,NE,680,0.180422659,https://a.espncdn.com/i/headshots/nfl/players/full/2330.png
T.Brady,2015,NE,785,0.210934039,https://a.espncdn.com/i/headshots/nfl/players/full/2330.png
T.Brady,2016,NE,553,0.223994641,https://a.espncdn.com/i/headshots/nfl/players/full/2330.png
T.Brady,2017,NE,810,0.22740866,https://a.espncdn.com/i/headshots/nfl/players/full/2330.png
T.Brady,2018,NE,738,0.173129274,https://a.espncdn.com/i/headshots/nfl/players/full/2330.png
T.Brady,2019,NE,771,0.053166182,https://a.espncdn.com/i/headshots/nfl/players/full/2330.png
T.Brady,2020,TB,591,0.162672498,https://a.espncdn.com/i/headshots/nfl/players/full/2330.png
T.Bridgewater,2014,MIN,470,0.036608394,https://a.espncdn.com/i/headshots/nfl/players/full/16728.png
T.Bridgewater,2015,MIN,496,0.047724055,https://a.espncdn.com/i/headshots/nfl/players/full/16728.png
T.Bridgewater,2020,CAR,535,0.117178753,https://a.espncdn.com/i/headshots/nfl/players/full/16728.png
T.Pryor,2013,LV,336,-0.086386252,https://a.espncdn.com/i/headshots/nfl/players/full/14851.png
T.Romo,2013,DAL,579,0.078036031,https://a.espncdn.com/i/headshots/nfl/players/full/5209.png
T.Romo,2014,DAL,471,0.284214261,https://a.espncdn.com/i/headshots/nfl/players/full/5209.png
T.Savage,2017,HOU,254,-0.222545186,
T.Siemian,2016,DEN,504,-0.030991672,https://a.espncdn.com/i/headshots/nfl/players/full/2511109.png
T.Siemian,2017,DEN,435,-0.110891502,https://a.espncdn.com/i/headshots/nfl/players/full/2511109.png
T.Taylor,2015,BUF,432,0.140781082,https://a.espncdn.com/i/headshots/nfl/players/full/14163.png
T.Taylor,2016,BUF,558,0.111161618,https://a.espncdn.com/i/headshots/nfl/players/full/14163.png
T.Taylor,2017,BUF,506,0.039816583,https://a.espncdn.com/i/headshots/nfl/players/full/14163.png
